
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

   NODE        X                   Y                   Z
        1   -10.0000000000        -10.0000000000        0.512514451188E-015
        2   -14.1421356237        0.532907051820E-014   -10.0000000000     
        3   -15.2450495696        -5.60400070460        -4.39599929540     
        4   -11.5470053838       -0.221063763072E-014   0.976996261670E-014
        5   -12.1824010137        -5.24930286627        0.591214042895E-014
        6   -13.3760456468        0.189322059989E-015   -4.86684369815     
        7   -13.9911919428        -3.53321943720        -2.87160853329     
        8   -7.10786437627         21.2500000000         20.0520382004     
        9   -8.92995937326         21.2500000000         28.2842712475     
       10   -7.63512270237         21.2500000000         24.2504531743     
       11   -10.0000000000         10.0000000000         28.2842712475     
       12   -7.76421456546         15.4175928975         28.2842712475     
       13   -5.25860282163         15.1010498807         24.5515573450     
       14   -6.48650623684         17.3598370658         25.9046250667     
       15    10.0000000000         10.0000000000         28.2842712475     
       16    8.92995937326         21.2500000000         28.2842712475     
       17    7.76421456546         15.4175928975         28.2842712475     
       18    7.10786437627         21.2500000000         20.0520382004     
       19    7.63512270235         21.2500000000         24.2504531742     
       20    5.25860282163         15.1010498807         24.5515573450     

   NODE        X                   Y                   Z
       21    6.48650623682         17.3598370658         25.9046250667     
       22    0.00000000000       -0.550271849752E-015    14.1421356237     
       23   0.444089209850E-014    14.1421356237         10.0000000000     
       24   0.151529212760E-014    9.06205334389         17.2650576700     
       25   -3.55393218814         17.6960678119         15.0260191002     
       26   -5.00000000000         5.00000000000         21.2132034356     
       27   -2.59688069125         12.0650359655         20.8724936061     
       28    3.55393218814         17.6960678119         15.0260191002     
       29    5.00000000000         5.00000000000         21.2132034356     
       30    2.59688070890         12.0650358859         20.8724936499     
       31    10.0000000000        -10.0000000000         28.2842712475     
       32    21.2500000000        -8.92995937326         28.2842712475     
       33    15.4175928975        -7.76421456546         28.2842712475     
       34    21.2500000000        -7.10786437627         20.0520382004     
       35    21.2500000000        -7.63512270235         24.2504531742     
       36    15.1010498807        -5.25860282163         24.5515573450     
       37    17.3598370658        -6.48650623682         25.9046250667     
       38    21.2500000000         8.92995937326         28.2842712475     
       39    21.2500000000         7.10786437627         20.0520382004     
       40    21.2500000000         7.63512270235         24.2504531742     

   NODE        X                   Y                   Z
       41    15.4175928975         7.76421456546         28.2842712475     
       42    15.1010498807         5.25860282163         24.5515573450     
       43    17.3598370658         6.48650623682         25.9046250667     
       44    14.1421356237       -0.444089209850E-014    10.0000000000     
       45    17.6960678119        -3.55393218813         15.0260191002     
       46    9.06205326230       -0.412935544590E-014    17.2650576804     
       47    5.00000000000        -5.00000000000         21.2132034356     
       48    12.0650358486        -2.59688071289         20.8724936636     
       49    17.6960678119         3.55393218813         15.0260191002     
       50    12.0650359283         2.59688069525         20.8724936198     
       51    7.10786437627        -21.2500000000         20.0520382004     
       52    5.25860282163        -15.1010498807         24.5515573450     
       53    8.92995937326        -21.2500000000         28.2842712475     
       54    7.63512270235        -21.2500000000         24.2504531742     
       55    7.76421456546        -15.4175928975         28.2842712475     
       56    6.48650623682        -17.3598370658         25.9046250667     
       57   -10.0000000000        -10.0000000000         28.2842712475     
       58   -7.10786437627        -21.2500000000         20.0520382004     
       59   -5.25860282163        -15.1010498807         24.5515573450     
       60   -8.92995937326        -21.2500000000         28.2842712475     

   NODE        X                   Y                   Z
       61   -7.76421456546        -15.4175928975         28.2842712475     
       62   -7.63512270235        -21.2500000000         24.2504531742     
       63   -6.48650623682        -17.3598370658         25.9046250667     
